Pocet replikacii;Pocet technikov;Pocet automechanikov typ 1;Pocet automechanikov typ 2;Pocet vozidiel v systeme;Pocet vozidiel v systeme IS;Pocet vozidel na konci dna;Cas v systeme;Cas v systeme IS;Cakanie na prevzatie;Dlzka rady;Volni technici;Volni automechanici typ 1;Volni automechanici typ 2;Potrebne financie
3221;7;7;14;28,935388355942468;28,75 - 29,12;2,2793296089385473;69,8961666096054;69,62 - 70,17;16,897859983532154;7,920147534985417;2,74574205631614;0,6131934458650599;2,3503404599065703;39200
8865;6;8;13;29,239101831543593;29,13 - 29,35;2,4793593503270923;70,79009516565537;70,62 - 70,96;17,80341247198548;8,29147649620963;1,8235455580301447;0,7528260936587722;2,259438127557675;38100
9999;7;8;14;27,495575558360898;27,4 - 27,59;0,8921;65,93129699668583;65,8 - 66,07;13,240768507145066;6,378119644341823;2,7034242556583554;0,8306263391863175;2,834129866483434;40700
4481;7;8;15;26,442756873314817;26,32 - 26,56;0,2978580990629183;63,02581879916955;62,86 - 63,19;10,659900985082437;5,242865953444291;2,6704459214009355;0,9031997202666187;3,5370426704786233;42200
3974;7;8;16;25,700359148412108;25,59 - 25,81;0,08830188679245284;61,001825282911035;60,86 - 61,14;8,868834084527318;4,421054313976198;2,6451336548273843;0,9604507379227839;4,294780556970999;43700
9999;7;7;16;26,416437605717224;26,34 - 26,5;0,2796;62,96096565553473;62,85 - 63,07;10,578493467912487;5,202879112626701;2,668910604234921;0,7470102901907982;3,6903145760696994;42200
5201;7;7;17;25,670449659980527;25,58 - 25,77;0,06901191849288735;60,88193374991334;60,76 - 61,01;8,782711261166478;4,378736429703171;2,6438593246566735;0,7939060512674416;4,465713311447804;43700
3119;6;7;17;26,177334435524944;26,04 - 26,31;0,1576923076923077;62,34052692609469;62,16 - 62,52;10,10029690867127;4,971983074337768;1,730243241001398;0,8053898329204066;4,534605207317568;42600
4969;7;7;17;25,680112403128895;25,58 - 25,78;0,07344064386317907;60,98519157645809;60,86 - 61,11;8,866020190250786;4,422388193737931;2,6495382586867384;0,7949904478813429;4,479611707679371;43700
2144;7;8;16;25,61606805341636;25,46 - 25,77;0,10023310023310024;60,9119507057739;60,71 - 61,11;8,80851040024209;4,4019251369816566;2,6561335696342048;0,959875408261092;4,340986852607594;43700
2366;7;7;17;25,744189331759916;25,6 - 25,89;0,12125052809463456;61,085362575820994;60,89 - 61,28;8,98200263683218;4,478165993362749;2,645966588935752;0,7926368361735879;4,475089671282023;43700
206;7;7;17;25,74141104989888;25,3 - 26,19;0,21739130434782608;61,05144673637669;60,45 - 61,66;8,970222921655255;4,504145226515434;2,640714260097733;0,8002548957145597;4,478159756282794;43700
943;7;8;16;25,7772566290189;25,54 - 26,01;0,1483050847457627;61,065565584454326;60,76 - 61,37;8,914286256673233;4,453924234987308;2,641679871922955;0,9549706380371948;4,270765499174997;43700
122;7;8;16;25,370298621694133;24,73 - 26,01;0,2926829268292683;60,54817297845141;59,73 - 61,37;8,477237273297748;4,247403256576213;2,671642715047861;0,9767870217381099;4,402268603251865;43700
64;7;7;17;25,75893955824717;24,95 - 26,56;0,03076923076923077;60,85043130463665;59,77 - 61,93;8,865842440418309;4,430697645606816;2,6323243357344066;0,8125849964546881;4,387366242551428;43700
10;7;8;15;26,50428465925771;0 - 0;0,8181818181818182;63,34512099808854;0 - 0;11,156943139139665;5,5092153744349455;2,7010869129158515;0,9622556014469957;3,6033371467066093;42200
62;7;8;14;26,631277094044734;25,22 - 28,04;1,2222222222222223;64,2196262204755;62,23 - 66,21;11,771186361988633;5,69686814669098;2,738307084531908;0,8593749584254032;3,006766727210264;40700
54;6;8;13;29,76441918633919;28,43 - 31,09;2,709090909090909;71,83507436792829;69,87 - 73,8;18,878044155684297;8,794292741010176;1,810324222653364;0,72409801376791;2,2068828074097637;38100
38;5;6;13;35,41503649676998;33,44 - 37,39;12,102564102564102;86,28052949460809;83,28 - 89,29;33,82553623059261;14,718716688310463;0,9871332833616998;0,33627078166930663;1,5031141160671198;34000
38;5;6;12;35,76564589728815;33,61 - 37,93;16,487179487179485;88,62745606138955;85,43 - 91,82;36,55549518403549;15,397483277632627;1,109215025801442;0,31657014809838546;1,2491021246860445;32500
33;4;7;12;38,683930598519545;36,67 - 40,69;21,764705882352942;95,10574876813922;92,18 - 98,03;44,93566063911056;18,879101905727897;0,2097759784258002;0,5743109894098334;2,120066566120611;32900
33;5;7;12;34,8301738180543;32,16 - 37,5;12,029411764705882;85,34734911807041;81,34 - 89,35;32,64511906660364;14,234097471745756;1,0154712420500374;0,46927623577745164;1,499047151728937;34000
32;5;7;11;34,20887374133426;31,62 - 36,8;14,909090909090908;86,2760474228336;82,58 - 89,97;33,932665799219464;14,281805180768647;1,157376768910694;0,4497317128431708;1,3326117590725353;32500
39;5;5;10;47,072097967655196;44,76 - 49,39;44,225;113,66939855701557;110,58 - 116,76;64,3447278091529;28,170350076370266;1,5146854326170018;0,16071895105426562;0,646466184115454;28000
32;4;10;10;37,9114617002124;34,67 - 41,15;21,818181818181817;92,82167343038523;88,4 - 97,25;42,89154935386759;18,394590507420183;0,33557063319677766;1,1867915254341506;2,6448826855112526;34400
40;10;10;10;30,37222996542426;28,1 - 32,65;5,317073170731708;74,05308859327121;70,67 - 77,43;20,97581648505723;9,580191101859551;5,61313985173811;0,9231457009586893;1,5387834834906822;41000
